"Player","Team","Bye","POS","ESPN","ADP"
"Riley Leonard","IND","11","QB69","400","398"
"Donovan Peoples-Jones","NO","11","WR117","401","399"
"Jermaine Jackson","","","WR118","402","400"
"Ihmir Smith-Marsette","NYG","14","WR119","403","401"
"Brett Maher","","","K43","404","402"
"David Moore","CAR","14","WR120","405","403"
"Arian Smith","NYJ","9","WR121","406","404"
"Jaren Hall","","","QB70","407","405"
"Jake Browning","CIN","10","QB71","408","406"
"Savion Williams","GB","5","WR122","409","407"
"Charlie Jones","CIN","10","WR123","410","408"
"","","","3","411","0"
"Michael Badgley","","","K44","412","409"
"Donovan Edwards","NYJ","9","RB80","413","410"
"Khalil Herbert","IND","11","RB81","414","411"
"Devin Duvernay","CHI","5","WR124","415","412"
"Mo Alie-Cox","IND","11","TE60","416","413"
"Jamari Thrash","CLE","9","WR125","417","414"
"Gunner Olszewski","NYG","14","WR126","418","415"
"Sam Howell","MIN","6","QB72","419","416"
"Nikko Remigio","KC","10","WR127","420","417"
"Devontez Walker","BAL","7","WR128","421","418"
"Jonathan Mingo","DAL","10","WR129","422","419"
"Cade York","","","K45","423","420"
"Brayden Narveson","","","K46","424","421"
"Audric Estime","DEN","12","RB82","425","422"
"Damien Martinez","SEA","8","RB83","426","423"
"Phillip Dorsett II","LV","8","WR130","427","424"
"Tanner Brown","","","K47","429","425"
"Henry Pearson","","","RB84","430","426"
"Dorian Thompson-Robinson","PHI","9","QB73","431","427"
"Charlie Woerner","ATL","5","TE61","432","428"
"Nathan Peterman","","","QB74","433","429"
"Anthony Brown Jr.","","","QB75","434","430"
"Cordarrelle Patterson","","","RB85","435","431"
"Drew Sample","CIN","10","TE62","436","432"
"Demarcus Robinson","SF","14","WR131","437","433"
"Jeremy McNichols","WAS","12","RB86","438","434"
"Brandon Allen","TEN","10","QB76","439","435"
"Eric Gray","NYG","14","RB87","440","436"
"Brady Russell","SEA","8","TE63","441","437"
"Sione Vaki","DET","8","RB88","442","438"
"Terrace Marshall Jr.","PHI","9","WR132","443","439"
"Desmond Ridder","CIN","10","QB77","444","440"
"Michael Pratt","TB","9","QB78","445","441"
"Charlie Kolar","BAL","7","TE64","446","442"
"Matt Prater","","","K48","447","443"
"Devaughn Vele","DEN","12","WR133","448","444"
"Tyler Johnson","NYJ","9","WR134","449","445"
"DJ Chark Jr.","ATL","5","WR135","450","446"
"Keith Kirkwood","BAL","7","WR136","451","447"
"Tyler Scott","CHI","5","WR137","452","448"
"Jordan Watkins","SF","14","WR138","453","449"
"SaRodorick Thompson Jr.","","","RB89","454","450"
"Riley Patterson","","","K49","455","451"
"Sterling Shepard","TB","9","WR139","456","452"
